Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_HoneyBadger_Mag0,Honey Badger Magazine,Honey Badger Magazine,Honey Badger Magazine,Honey Badger Magazin,Магазин для Honey Bager,Honey Badger Magazine,Honey Badger Magazine,Honey Badger Magazine,Cargador de Honey Badger,Chargeur Honey Badger ,Honey Badger Magazine,Honey Badger Magazine,Honey Badger Magazine,Honey Badger Magazine
STR_HoneyBadger_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_KAC_PDW_Mag0,KAC-PDW Magazine,KAC-PDW Magazine,KAC-PDW Magazine,KAC-PDW Magazin,Магазин для KAC-PDW,KAC-PDW Magazine,KAC-PDW Magazine,KAC-PDW Magazine,Cargador de KAC-PDW,KAC-PDW Magazine,KAC-PDW Magazine,KAC-PDW Magazine,KAC-PDW Magazine,KAC-PDW Magazine
STR_KAC_PDW_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_L96A1_Mag0,L96A1 Magazine,L96A1 Magazine,L96A1 Magazine,L96A1 Magazin,Магазин для L96A1,L96A1 Magazine,L96A1 Magazine,L96A1 Magazine,Cargador de L96A1 ,Chargeur L96A1,L96A1 Magazine,L96A1 Magazine,L96A1 Magazine,L96A1 Magazine
STR_L96A1_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_M14_Tactical_Mag0,M14 Tactical Magazine,M14 Tactical Magazine,M14 Tactical Magazine,M14 Tactical Magazin,Магазин для M14 Tactical,M14 Tactical Magazine,M14 Tactical Magazine,M14 Tactical Magazine,Cargador de M14 Tactical,Chargeur M14 Tactical,M14 Tactical Magazine,M14 Tactical Magazine,M14 Tactical Magazine,M14 Tactical Magazine
STR_M14_Tactical_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_M14EBR_Mag0,M14 EBR Magazine,M14 EBR Magazine,M14 EBR Magazine,M14 EBR Magazin,Магазин для M14 EBR,M14 EBR Magazine,M14 EBR Magazine,M14 EBR Magazine,Cargador de M14 EBR,Chargeur M14 EBR,M14 EBR Magazine,M14 EBR Magazine,M14 EBR Magazine,M14 EBR Magazine
STR_M14EBR_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_M16A1_Mag0,M16A1 Magazine,M16A1 Magazine,M16A1 Magazine,M16A1 Magazin,Магазин для M16A1,M16A1 Magazine,M16A1 Magazine,M16A1 Magazine,Cargador de M16A1,Chargeur M16A1,M16A1 Magazine,M16A1 Magazine,M16A1 Magazine,M16A1 Magazine
STR_M16A1_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_M1A_Raw_Mag0,M1A Magazine,M1A Magazine,M1A Magazine,M1A Magazin,Магазин для M1A,M1A Magazine,M1A Magazine,M1A Magazine,Cargador de M1A,Chargeur M1A,M1A Magazine,M1A Magazine,M1A Magazine,M1A Magazine
STR_M1A_Raw_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_M200_Mag0,M200 Magazine,M200 Magazine,M200 Magazine,M200 Magazin,Магазин для M200,M200 Magazine,M200 Magazine,M200 Magazine,Cargador de M200,Chargeur M200,M200 Magazine,M200 Magazine,M200 Magazine,M200 Magazine
STR_M200_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_M82_Mag0,M82 Magazine,M82 Magazine,M82 Magazine,M82 Magazin,Магазин для M82,M82 Magazine,M82 Magazine,M82 Magazine,Cargador de M82,Chargeur M82,M82 Magazine,M82 Magazine,M82 Magazine,M82 Magazine
STR_M82_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_MAS49_Mag0,MAS-49/56 Magazine,MAS-49/56 Magazine,MAS-49/56 Magazine,MAS-49/56 Magazin,Магазин для MAS-49/56,MAS-49/56 Magazine,MAS-49/56 Magazine,MAS-49/56 Magazine,Cargador de MAS-49/56,Chargeur MAS-49/56,MAS-49/56 Magazine,MAS-49/56 Magazine,MAS-49/56 Magazine,MAS-49/56 Magazine
STR_MAS49_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_MAT49_Mag0,MAT-49 Magazine,MAT-49 Magazine,MAT-49 Magazine,MAT-49 Magazin,Магазин для MAT-49,MAT-49 Magazine,MAT-49 Magazine,MAT-49 Magazine,Cargador de MAT-49,Chargeur MAT-49,MAT-49 Magazine,MAT-49 Magazine,MAT-49 Magazine,MAT-49 Magazine
STR_MAT49_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_MP9_Mag0,MP9 Magazine,MP9 Magazine,MP9 Magazine,MP9 Magazin,Магазин для MP9,MP9 Magazine,MP9 Magazine,MP9 Magazine,Cargador de MP9,Chargeur MP9,MP9 Magazine,MP9 Magazine,MP9 Magazine,MP9 Magazine
STR_MP9_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_MPX_Mag0,MPX Magazine,MPX Magazine,MPX Magazine,MPX Magazin,Магазин для MPX,MPX Magazine,MPX Magazine,MPX Magazine,Cargador de MPX,Chargeur MPX,MPX Magazine,MPX Magazine,MPX Magazine,MPX Magazine
STR_MPX_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_MRAD_Mag0,MRAD Magazine,MRAD Magazine,MRAD Magazine,MRAD Magazin,Магазин для MRAD,MRAD Magazine,MRAD Magazine,MRAD Magazine,Cargador de MRAD,Chargeur MRAD,MRAD Magazine,MRAD Magazine,MRAD Magazine,MRAD Magazine
STR_MRAD_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_P8_Match_Mag0,P8 Match Magazine,P8 Match Magazine,P8 Match Magazine,P8 Match Magazin,Магазин для P8 Match,P8 Match Magazine,P8 Match Magazine,P8 Match Magazine,Cargador de P8 Match,Chargeur P8 Match,P8 Match Magazine,P8 Match Magazine,P8 Match Magazine,P8 Match Magazine
STR_P8_Match_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_SIG553_Mag0,SIG-553 Magazine,SIG-553 Magazine,SIG-553 Magazine,SIG-553 Magazin,Магазин для SIG-553,SIG-553 Magazine,SIG-553 Magazine,SIG-553 Magazine,Cargador de SIG-553,Chargeur SIG-553,SIG-553 Magazine,SIG-553 Magazine,SIG-553 Magazine,SIG-553 Magazine
STR_SIG553_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_SR25_Mag0,SR-25 Magazine,SR-25 Magazine,SR-25 Magazine,SR-25 Magazin,Магазин для SR-25,SR-25 Magazine,SR-25 Magazine,SR-25 Magazine,Cargador de SR-25,Chargeur SR-25,SR-25 Magazine,SR-25 Magazine,SR-25 Magazine,SR-25 Magazine
STR_SR25_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_SVT40_Mag0,SVT-40 Magazine,SVT-40 Magazine,SVT-40 Magazine,SVT-40 Magazin,Магазин для SVT-40,SVT-40 Magazine,SVT-40 Magazine,SVT-40 Magazine,Cargador de SVT-40,Chargeur SVT-40,SVT-40 Magazine,SVT-40 Magazine,SVT-40 Magazine,SVT-40 Magazine
STR_SVT40_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_Thompson_Mag0,Thompson Magazine,Thompson Magazine,Thompson Magazine,Thompson Magazin,Магазин для Thompson,Thompson Magazine,Thompson Magazine,Thompson Magazine,Cargador de Thompson,Chargeur Thompson,Thompson Magazine,Thompson Magazine,Thompson Magazine,Thompson Magazine
STR_Thompson_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_USP_9x19_Mag0,USP 9mm Magazine,USP 9mm Magazine,USP 9mm Magazine,USP 9mm Magazin,Магазин для USP,USP 9mm Magazine,USP 9mm Magazine,USP 9mm Magazine,Cargador de USP 9mm,Chargeur USP 9mm,USP 9mm Magazine,USP 9mm Magazine,USP 9mm Magazine,USP 9mm Magazine
STR_USP_9x19_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_Vepr_Mag0,Vepr Magazine,Vepr Magazine,Vepr Magazine,Vepr Magazin,Vepr Magazine,Vepr Magazine,Vepr Magazine,Vepr Magazine,Cargador de Vepr,Chargeur Vepr,Vepr Magazine,Vepr Magazine,Vepr Magazine,Vepr Magazine
STR_Vepr_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_VZ58_Mag0,Vz-58 Magazine,Vz-58 Magazine,Vz-58 Magazine,Vz-58 Magazin,Магазин для Vz-58,Vz-58 Magazine,Vz-58 Magazine,Vz-58 Magazine,Vz-58 Magazine,Chargeur Vz-58,Vz-58 Magazine,Vz-58 Magazine,Vz-58 Magazine,Vz-58 Magazine
STR_VZ58_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
STR_SL8_Mag0,SL8 Magazine,SL8 Magazine,SL8 Magazine,SL8 Magazine,SL8 Magazine,SL8 Magazine,SL8 Magazine,SL8 Magazine,SL8 Magazine,Chargeur SL8,SL8 Magazine,SL8 Magazine,SL8 Magazine,SL8 Magazine
STR_SL8_Mag1,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,"Ein einfaches Metallmagazin, in dem mehrere Patronen aufbewahrt werden können.","Простой металлический магазин, для амуниции",A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,Un simple cargador de metal que puede almacenar varios proyectiles.,Un simple chargeur métallique pouvant stocker plusieurs munitions.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.,A simple metal magazine that can store several ammunition.
ATTACHMENTS,,,,,,,,,,,,,,
STR_AK12_Buttstock_Green0,Green AK-12 Buttstock,Green AK-12 Buttstock,Green AK-12 Buttstock,AK-12 Schulterstütze Grün,Зелёный приклад для АК-12,Green AK-12 Buttstock,Green AK-12 Buttstock,Green AK-12 Buttstock,Culata AK-12 Verde ,Crosse de AK-12 Verte,Green AK-12 Buttstock,Green AK-12 Buttstock,Green AK-12 Buttstock,Green AK-12 Buttstock
STR_AK12_Buttstock_Sand0,Sand AK-12 Buttstock,Sand AK-12 Buttstock,Sand AK-12 Buttstock,AK-12 Schulterstütze Sand,Песочный приклад для АК-12,Sand AK-12 Buttstock,Sand AK-12 Buttstock,Sand AK-12 Buttstock,Culata AK-12 Arido ,Crosse de AK-12 Sable,Sand AK-12 Buttstock,Sand AK-12 Buttstock,Sand AK-12 Buttstock,Sand AK-12 Buttstock
STR_AK12_Buttstock0,AK-12 Buttstock,AK-12 Buttstock,AK-12 Buttstock,AK-12 Schulterstütze,Приклад для AK-12,AK-12 Buttstock,AK-12 Buttstock,AK-12 Buttstock,Culata AK-12,Crosse de AK-12,AK-12 Buttstock,AK-12 Buttstock,AK-12 Buttstock,AK-12 Buttstock
STR_AK12_Buttstock1,A collapsible buttstock from the AK12.,A collapsible buttstock from the AK12.,A collapsible buttstock from the AK12.,Eine faltbare Schulterstütze für das AK-12.,Складной приклад для АК-12,A collapsible buttstock from the AK12.,A collapsible buttstock from the AK12.,A collapsible buttstock from the AK12.,Una culata plegable de AK12.,Une crosse rétractable de AK12.,A collapsible buttstock from the AK12.,A collapsible buttstock from the AK12.,A collapsible buttstock from the AK12.,A collapsible buttstock from the AK12.
STR_APX_SOM_Optic0,APX/SOM Optic,APX/SOM Optic,APX/SOM Optic,APX/SOM Optic,Прицел APX/SOM,APX/SOM Optic,APX/SOM Optic,APX/SOM Optic,Óptica APX/SOM,Lunette APX/SOM,APX/SOM Optic,APX/SOM Optic,APX/SOM Optic,APX/SOM Optic
STR_APX_SOM_Optic1,A French optic designed for MAS rifles.,A French optic designed for MAS rifles.,A French optic designed for MAS rifles.,Eine französische Optik für MAS-Gewehre. ,Французский прицел для винтовок MAS,A French optic designed for MAS rifles.,A French optic designed for MAS rifles.,A French optic designed for MAS rifles.,Una óptica francesa diseñada para rifles MAS.,Une optique Française pour les fusil MAS.,A French optic designed for MAS rifles.,A French optic designed for MAS rifles.,A French optic designed for MAS rifles.,A French optic designed for MAS rifles.
STR_HAMR_Optic0,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR,Leupold HAMR
STR_HAMR_Optic1,"Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. ist ein US-amerikanischer Hersteller von Zielfernrohren, Leuchtpunktvisieren, Spektiven und Ferngläsern in Beaverton, Oregon, USA. Bei diesem Zielfernrohr handelt es sich um ein HAMR mit festem Zoom und einem Holosicht oben für Nahkämpfe.","Leupold & Stevens, Inc. - американский производитель телескопических прицелов, прицелов с красной точкой, зрительных труб и биноклей, расположенный в Бивертоне, штат Орегон, США. Этот прицел представляет собой HAMR с фиксированным зумом и голографическим прицелом наверху для ближнего боя.","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. es un fabricante estadounidense de miras telescópicas, miras de punto rojo, catalejos y prismáticos con sede en Beaverton, Oregón, Estados Unidos. Este visor es un HAMR con un zoom fijo, con un punto holográfico en la parte superior para encuentros a corta distancia.","Leupold & Stevens, Inc. est un fabricant américain de viseurs télescopiques, de viseurs à point rouge, de lunettes d'observation et de jumelles situé à Beaverton, Oregon, États-Unis. Cette lunette est une HAMR avec un zoom fixe, avec une holosight sur le dessus pour des engagements rapprochés. ","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements.","Leupold & Stevens, Inc. is an American manufacturer of telescopic sights, red dot sights, spotting scopes, and binoculars located in Beaverton, Oregon, United States. This scope is a HAMR with a fixed zoom, with a holosight on the top for close engagements."
STR_HK416D_Backsight_Green0,Green HK-416D Sight,Green HK-416D Sight,Green HK-416D Sight,HK-416D Visier Grünes,Зелёный прицел HK-416D,Green HK-416D Sight,Green HK-416D Sight,Green HK-416D Sight,Mira HK-416D Verde ,Mire de HK-416D Verte,Green HK-416D Sight,Green HK-416D Sight,Green HK-416D Sight,Green HK-416D Sight
STR_HK416D_Backsight_Sand0,Sand HK-416D Sight,Sand HK-416D Sight,Sand HK-416D Sight,HK-416D Visier Sand,Песочный прицел HK-416D,Sand HK-416D Sight,Sand HK-416D Sight,Sand HK-416D Sight,Mira HK-416D Arido ,Mire de HK-416D Sable,Sand HK-416D Sight,Sand HK-416D Sight,Sand HK-416D Sight,Sand HK-416D Sight
STR_HK416D_Backsight0,HK-416D Sight,HK-416D Sight,HK-416D Sight,HK-416D Visier,Прицел HK-416D,HK-416D Sight,HK-416D Sight,HK-416D Sight,Mira HK-416D,Mire de HK-416D,HK-416D Sight,HK-416D Sight,HK-416D Sight,HK-416D Sight
